city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Kaarst,Kaarst,51.2278,6.6273,Germany,DE,DEU,North Rhine-Westphalia,,44208,1276322915
Wismar,Wismar,53.8925,11.465,Germany,DE,DEU,Mecklenburg-Western Pomerania,minor,44022,1276660084
Gifhorn,Gifhorn,52.4886,10.5464,Germany,DE,DEU,Lower Saxony,minor,43941,1276793894
Bietigheim-Bissingen,Bietigheim-Bissingen,48.9494,9.1361,Germany,DE,DEU,Baden-Württemberg,,43808,1276916733
Erkrath,Erkrath,51.2239,6.9147,Germany,DE,DEU,North Rhine-Westphalia,,43801,1276917229
Heinsberg,Heinsberg,51.0631,6.0964,Germany,DE,DEU,North Rhine-Westphalia,minor,43620,1276000099
Borken,Borken,51.8439,6.8583,Germany,DE,DEU,North Rhine-Westphalia,minor,43589,1276778327
Nettetal,Nettetal,51.3167,6.2833,Germany,DE,DEU,North Rhine-Westphalia,,43425,1276049262
Aurich,Aurich,53.4714,7.4836,Germany,DE,DEU,Lower Saxony,minor,43375,1276424784
Kamen,Kamen,51.5917,7.6653,Germany,DE,DEU,North Rhine-Westphalia,,43001,1276465116
Seevetal,Seevetal,53.3833,10.0333,Germany,DE,DEU,Lower Saxony,,42880,1276709038
Eisenach,Eisenach,50.9747,10.3244,Germany,DE,DEU,Thuringia,minor,42817,1276000880
Schwäbisch Hall,Schwabisch Hall,49.1122,9.7375,Germany,DE,DEU,Baden-Württemberg,minor,42743,1276556451
Amberg,Amberg,49.4444,11.8483,Germany,DE,DEU,Bavaria,minor,42676,1276551955
Laatzen,Laatzen,52.3077,9.8133,Germany,DE,DEU,Lower Saxony,,42560,1276954154
Homburg,Homburg,49.3167,7.3333,Germany,DE,DEU,Saarland,minor,42498,1276520056
Dreieich,Dreieich,50.0189,8.6961,Germany,DE,DEU,Hesse,,42389,1276481123
Ansbach,Ansbach,49.3,10.5833,Germany,DE,DEU,Bavaria,minor,42311,1276572551
Kirchheim unter Teck,Kirchheim unter Teck,48.6483,9.4511,Germany,DE,DEU,Baden-Württemberg,,42178,1276389368
